fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water,51810797.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Storm Water Regional Facilities,7216123.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tax Increment Financing,934374.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tree Canopy & Mitigation,1436871.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Tricentennial,343491.0,2019,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,TOTAL SPECIAL REVENUE FUNDS,367004422.0,2019,True
Enterprise Funds,ENTERPRISE FUNDS,Airport,101192461.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Customer Facility Charge,12248922.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Passenger Facility Charge,17679597.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Development Services,34396455.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Market Square,2984084.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Parking,11175418.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,Solid Waste Operating & Maintenance,126384835.0,2019,False
Enterprise Funds,ENTERPRISE FUNDS,TOTAL ENTERPRISE FUNDS,306061772.0,2019,True
Trust Funds,TRUST FUNDS,City Cemetery,179130.0,2019,False
Trust Funds,TRUST FUNDS,TOTAL TRUST FUNDS,179130.0,2019,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Capital Improvements Management Services,21250212.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Equipment Renewal & Replacement,45241272.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Facility Services,17288142.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Fleet Services,42089757.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Information Technology Services,62721212.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Purchasing & General Services,7318929.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Self Insurance,178546726.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,TOTAL INTERNAL SERVICE FUNDS,374456250.0,2019,True
Internal Service Funds,INTERNAL SERVICE FUNDS,Grants,153339052.0,2019,False
Internal Service Funds,INTERNAL SERVICE FUNDS,Debt Services,321188318.0,2019,False
General Fund,GENERAL FUND,Current Property Tax,381309591.0,2020,False
General Fund,GENERAL FUND,City Sales Tax,313112000.0,2020,False
General Fund,GENERAL FUND,CPS Energy,353708823.0,2020,False
General Fund,GENERAL FUND,Business and Franchise Tax,20287034.0,2020,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,10073418.0,2020,False
